id,feedback,category,predicted_category
1,"The curriculum should include more practical and industry-relevant courses. Overall, the experience has been mixed.",Academics,Faculty
2,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. It makes a real difference in daily student life.",Academics,Academics
3,"The syllabus is vast, but the professors do a great job explaining every topic clearly. Such improvements would greatly benefit everyone.",Academics,Academics
4,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. It’s a step in the right direction, but more can be done.",Academics,Academics
5,I appreciate how we are encouraged to think critically in our assignments. This needs urgent attention.,Academics,Academics
6,"The syllabus is vast, but the professors do a great job explaining every topic clearly. Overall, the experience has been mixed.",Academics,Academics
7,"The curriculum should include more practical and industry-relevant courses. It’s a step in the right direction, but more can be done.",Academics,Academics
8,The curriculum should include more practical and industry-relevant courses. It makes a real difference in daily student life.,Academics,Academics
9,"The syllabus is vast, but the professors do a great job explaining every topic clearly. This needs urgent attention.",Academics,Academics
10,Some classes are too theoretical and lack interactive learning methods. This needs urgent attention.,Academics,Academics
11,Some classes are too theoretical and lack interactive learning methods. Such improvements would greatly benefit everyone.,Academics,Academics
12,I appreciate how we are encouraged to think critically in our assignments. It makes a real difference in daily student life.,Academics,Academics
13,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. It makes a real difference in daily student life.",Academics,Academics
14,"The curriculum should include more practical and industry-relevant courses. Overall, the experience has been mixed.",Academics,Faculty
15,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. This needs urgent attention.",Academics,Academics
16,"I appreciate how we are encouraged to think critically in our assignments. Overall, the experience has been mixed.",Academics,Academics
17,"The syllabus is vast, but the professors do a great job explaining every topic clearly. This needs urgent attention.",Academics,Academics
18,"I appreciate how we are encouraged to think critically in our assignments. It’s a step in the right direction, but more can be done.",Academics,Academics
19,I appreciate how we are encouraged to think critically in our assignments. Such improvements would greatly benefit everyone.,Academics,Academics
20,I appreciate how we are encouraged to think critically in our assignments. Such improvements would greatly benefit everyone.,Academics,Academics
21,The curriculum should include more practical and industry-relevant courses. It makes a real difference in daily student life.,Academics,Academics
22,Some classes are too theoretical and lack interactive learning methods. This needs urgent attention.,Academics,Academics
23,"Some classes are too theoretical and lack interactive learning methods. Overall, the experience has been mixed.",Academics,Academics
24,I appreciate how we are encouraged to think critically in our assignments. This needs urgent attention.,Academics,Academics
25,I appreciate how we are encouraged to think critically in our assignments. It makes a real difference in daily student life.,Academics,Academics
26,"The curriculum should include more practical and industry-relevant courses. Overall, the experience has been mixed.",Academics,Faculty
27,The curriculum should include more practical and industry-relevant courses. This needs urgent attention.,Academics,Faculty
28,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. It’s a step in the right direction, but more can be done.",Academics,Academics
29,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. Overall, the experience has been mixed.",Academics,Academics
30,"I appreciate how we are encouraged to think critically in our assignments. Overall, the experience has been mixed.",Academics,Academics
31,Some classes are too theoretical and lack interactive learning methods. This needs urgent attention.,Academics,Academics
32,"The syllabus is vast, but the professors do a great job explaining every topic clearly. This needs urgent attention.",Academics,Academics
33,The curriculum should include more practical and industry-relevant courses. This needs urgent attention.,Academics,Faculty
34,"I appreciate how we are encouraged to think critically in our assignments. Overall, the experience has been mixed.",Academics,Academics
35,The curriculum should include more practical and industry-relevant courses. It makes a real difference in daily student life.,Academics,Academics
36,"I appreciate how we are encouraged to think critically in our assignments. It’s a step in the right direction, but more can be done.",Academics,Academics
37,The curriculum should include more practical and industry-relevant courses. It makes a real difference in daily student life.,Academics,Academics
38,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. It makes a real difference in daily student life.",Academics,Academics
39,"The syllabus is vast, but the professors do a great job explaining every topic clearly. Such improvements would greatly benefit everyone.",Academics,Academics
40,"The curriculum should include more practical and industry-relevant courses. Overall, the experience has been mixed.",Academics,Faculty
41,I appreciate how we are encouraged to think critically in our assignments. It makes a real difference in daily student life.,Academics,Academics
42,"The curriculum should include more practical and industry-relevant courses. It’s a step in the right direction, but more can be done.",Academics,Academics
43,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. It’s a step in the right direction, but more can be done.",Academics,Academics
44,"Some classes are too theoretical and lack interactive learning methods. It’s a step in the right direction, but more can be done.",Academics,Academics
45,"I appreciate how we are encouraged to think critically in our assignments. Overall, the experience has been mixed.",Academics,Academics
46,"The syllabus is vast, but the professors do a great job explaining every topic clearly. It’s a step in the right direction, but more can be done.",Academics,Academics
47,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. This needs urgent attention.",Academics,Academics
48,I appreciate how we are encouraged to think critically in our assignments. It makes a real difference in daily student life.,Academics,Academics
49,The curriculum should include more practical and industry-relevant courses. It makes a real difference in daily student life.,Academics,Academics
50,"Exams are conducted smoothly, but sometimes the questions are not aligned with lectures. It makes a real difference in daily student life.",Academics,Academics
51,Toilets in academic blocks need more frequent cleaning. It makes a real difference in daily student life.,Facilities,Facilities
52,The library space is excellent for group discussions and solo study. It makes a real difference in daily student life.,Facilities,Facilities
53,Our department’s classrooms have air conditioning and clean whiteboards. This needs urgent attention.,Facilities,Facilities
54,"The elevators in some buildings are not working properly. It’s a step in the right direction, but more can be done.",Facilities,Facilities
55,The auditorium is too small for hosting major college events. Such improvements would greatly benefit everyone.,Facilities,Facilities
56,"The elevators in some buildings are not working properly. Overall, the experience has been mixed.",Facilities,Facilities
57,"Our department’s classrooms have air conditioning and clean whiteboards. It’s a step in the right direction, but more can be done.",Facilities,Facilities
58,The auditorium is too small for hosting major college events. Such improvements would greatly benefit everyone.,Facilities,Facilities
59,The library space is excellent for group discussions and solo study. It makes a real difference in daily student life.,Facilities,Facilities
60,"The auditorium is too small for hosting major college events. It’s a step in the right direction, but more can be done.",Facilities,Facilities
61,The auditorium is too small for hosting major college events. This needs urgent attention.,Facilities,Facilities
62,"The auditorium is too small for hosting major college events. Overall, the experience has been mixed.",Facilities,Facilities
63,"The elevators in some buildings are not working properly. Overall, the experience has been mixed.",Facilities,Facilities
64,"The auditorium is too small for hosting major college events. It’s a step in the right direction, but more can be done.",Facilities,Facilities
65,"The auditorium is too small for hosting major college events. It’s a step in the right direction, but more can be done.",Facilities,Facilities
66,Our department’s classrooms have air conditioning and clean whiteboards. Such improvements would greatly benefit everyone.,Facilities,Facilities
67,The auditorium is too small for hosting major college events. It makes a real difference in daily student life.,Facilities,Facilities
68,The elevators in some buildings are not working properly. Such improvements would greatly benefit everyone.,Facilities,Facilities
69,"Our department’s classrooms have air conditioning and clean whiteboards. Overall, the experience has been mixed.",Facilities,Facilities
70,The library space is excellent for group discussions and solo study. Such improvements would greatly benefit everyone.,Facilities,Facilities
